article-title,article-pmid
The EEG and fMRI signatures of neural integration: An investigation of meaningful gestures and corresponding speech ,25900470
Language Universals Engage Broca's Area,24743423
BDNF Genotype Modulates Resting Functional Connectivity in Children,19956404
Spontaneous brain activity in adult patients with moyamoya disease: a resting-state fMRI study ,24380677
Functional connectivity with ventromedial prefrontal cortex reflects subjective value for social rewards,24493836
Handedness-dependent and –independent cerebral asymmetries in the anterior intraparietal sulcus and ventral premotor cortex during grasp planning,21554968
Delineating self-referential processing from episodic memory retrieval: Common and dissociable networks ,20123026
Abnormal regional homogeneity as a potential imaging biomarker for adolescent-onset schizophrenia: A resting-state fMRI study and support vector machine analysis ,28587813
Prefrontal and Medial Temporal Lobe Activity at Encoding Predicts Temporal Context Memory,21084610
Neural signatures of hand kinematics in leaders vs. followers: A dual-MEG study ☆,26546864
Neural correlates of delusional infestation responding to aripiprazole monotherapy: a case report,25673993
Language affects patterns of brain activation associated with perceptual decision,18316728
Convergent Findings of Altered Functional and Structural Brain Connectivity in Individuals with High Functioning Autism: A Multimodal MRI Study,23825652
Situation and person attributions under spontaneous and intentional instructions: an fMRI study,22345370
Trait self-esteem and neural activities related to self-evaluation and social feedback,26842975
Genetic variation in schizophrenia-risk-gene dysbindin 1 modulates brain activation in anterior cingulate cortex and right temporal gyrus during language production in healthy individuals ,19497374
Cluster Size Statistic and Cluster Mass Statistic: Two Novel Methods for Identifying Changes in Functional Connectivity Between Groups or Conditions,24906136
The correlation between white-matter microstructure and the complexity of spontaneous brain activity: A difussion tensor imaging-MEG study ,21683794
Duration of motherhood has incremental effects on mothers’ neural processing of infant vocal cues: a neuroimaging study of women,28496095
Atorvastatin therapy is associated with greater and faster cerebral hemodynamic response,20157644
Meditation's impact on default mode network & hippocampus in mild cognitive impairment: a pilot study,24120430
Evidence for rostro-caudal functional organization in multiple brain areas related to goal-directed behavior ,24842002
When Pinocchio's nose does not grow: belief regarding lie-detectability modulates production of deception,23382715
Effects of model-based physiological noise correction on default mode network anti-correlations and correlations,19446646
Baseline Shifts do not Predict Attentional Modulation of Target Processing During Feature-Based Visual Attention,18958221
Modes of Effective Connectivity within Cortical Pathways Are Distinguished for Different Categories of Visual Context: An fMRI Study,28588458
Action relationships concatenate representations of separate objects in the ventral visual system ,20580845
Hippocampal activation during extinction learning predicts occurrence of the renewal effect in extinction recall ,23684875
Functionally dissociable influences on learning rate in a dynamic environment,25459409
Continuous ASL perfusion fMRI investigation of higher cognition,16427324
A simultaneous ERP/fMRI investigation of the P300 aging effect ,22277263
Mapping the reading circuitry for skilled deaf readers: An fMRI study of semantic and phonological processing ,23747332
It is not always tickling: Distinct cerebral responses during perception of different laughter types ,20600991
Altered amygdala activation during face processing in Iraqi and Afghanistani war veterans,22738183
Brain Structural Signature of Familial Predisposition for Bipolar Disorder: Replicable Evidence For Involvement of the Right Inferior Frontal Gyrus,22818781
The Brain’s Dorsal Route for Speech Represents Word Meaning: Evidence from Gesture,23049951
Dyslexic children lack word selectivity gradients in occipito-temporal and inferior frontal cortex,25844326
The relation of general socio-emotional processing to parenting specific behavior: a study of mothers with and without posttraumatic stress disorder,26578996
A Magnitude Code Common to Numerosities and Number Symbols in Human Intraparietal Cortex ,17224409
Evaluating SVM and MLDA in the extraction of discriminant regions for mental state prediction ,19457392
Resting-state functional connectivity abnormalities correlate with psychometric hepatic encephalopathy score in cirrhosis ,26321490
Are the carrot and the stick the two sides of same coin? A neural examination of approach/avoidance motivation during cognitive performance ,26213335
Decoding of affective facial expressions in the context of emotional situations ,18541279
"Psychological, endocrine and neural responses to social evaluation in subclinical depression",24078020
Do mirror neuron areas mediate mu rhythm suppression during imitation and action observation? ,23756148
Functional Development of Fronto-Striato-Parietal Networks Associated with Time Perception,22087089
Age-related gray matter volume changes in the brain during non-elderly adulthood,19282066
Cognitive fatigue in individuals with traumatic brain injury is associated with caudate activation,28827779
Syntactic and Thematic Constraint Effects on Blood Oxygenation Level Dependent Signal Correlates of Comprehension of Relative Clauses,18052788
Consistency and variability in functional localisers,19289173
Uncovering Putative Neural Markers of Risk Avoidance,21354189
Neural events leading to and associated with detection of sounds under high processing load,22102362
The Brain Network for Deductive Reasoning: A Quantitative Meta-analysis of 28 Neuroimaging Studies,21568632
A preliminary evaluation of the correlation between regional energy phosphates and resting state functional connectivity in depression,26594618
Activity in ventromedial prefrontal cortex during self-related processing: positive subjective value or personal significance?,24837477
AN INVESTIGATION OF IMPLICIT MEMORY THROUGH LEFT TEMPORAL LOBECTOMY FOR EPILEPSY,22981890
Event-related fMRI of category learning: Differences in classification and feedback networks ,16426719
Neurobiology of Self-Awareness in Schizophrenia: an fMRI Study,22480958
Anomalous Hypothalamic Responses to Humor in Cataplexy,18493621
Altered Causal Connectivity of Resting State Brain Networks in Amnesic MCI,24613934
The fraction of an action is more than a movement: Neural signatures of event segmentation in fMRI ,22521252
Pain-mediated affect regulation is reduced after dialectical behavior therapy in borderline personality disorder: a longitudinal fMRI study,28119507
Predicting better performance on a college preparedness test from narrative comprehension at the age of 6 years: An fMRI study ,26459989
Somatosensory-Motor Adaptation of Orofacial Actions in Posterior Parietal and Ventral Premotor Cortices,23185300
Neural Repetition Effects in the Medial Temporal Lobe Complex are Modulated by Previous Encoding Experience,22829892
"Largely overlapping neuronal substrates of reactivity to drug, gambling, food and sexual cues: A comprehensive meta-analysis ",27397863
Attachment-style differences in the ability to suppress negative thoughts: Exploring the neural correlates ,16087352
Atrophy in two attention networks is associated with performance on a Flanker task in neurodegenerative disease,19747928
Brain microstructural changes and cognitive correlates in patients with pure obsessive compulsive disorder,24683518
Thinking About a Task Is Associated with Increased Connectivity in Regions Activated by Task Performance,26650337
Looking at my body. Similarities and differences between anorexia nervosa patients and controls in body image visual processing ,22999437
Abnormal spontaneous brain activity in type 2 diabetic retinopathy revealed by amplitude of low-frequency fluctuations: a resting-state fMRI study ,28041652
Nonlinear Neurobiological Probability Weighting Functions For Aversive Outcomes,18060809
Convergent and Divergent fMRI Responses in Children and Adults to Increasing Language Production Demands,24907249
Functional Magnetic Resonance Imaging Correlates of Emotional Word Encoding and Recognition in Depression and Anxiety Disorders ,22206877
Temporal summation of trigeminal pain in human anterior cingulate cortex ,19457385
Functional Connectivity of the Inferior Frontal Cortex Changes with Age in Children with Autism Spectrum Disorders: A fcMRI Study of Response Inhibition,19068486
Validation of SOBI components from high-density EEG ,15784433
Effects of social context on feedback-related activity in the human ventral striatum ,24904991
Framing the ultimatum game: the contribution of simulation,23847507
The Neural Circuitry Mediating Shifts in Behavioral Response and Cognitive Set in Autism,17916328
Distributed neural signatures of natural audiovisual speech and music in the human auditory cortex ,27932074
All for one but not one for all: How multiple number representations are recruited in one numerical task ,18022606
Serotonin transporter genotype modulates cognitive reappraisal of negative emotions: a functional magnetic resonance imaging study,22345383
Mode of Effective Connectivity within a Putative Neural Network Differentiates Moral Cognitions Related to Care and Justice Ethics,21364916
Compensatory Effort Parallels Midbrain Deactivation during Mental Fatigue: An fMRI Study,23457592
"Cognitive Control Links Alcohol Use, Trait Disinhibition, and Reduced Cognitive Capacity: Evidence for Medial Prefrontal Cortex Dysregulation during Reward-Seeking Behavior *",21992873
Violence-related content in video game may lead to functional connectivity changes in brain networks as revealed by fMRI-ICA in young men ,26855192
Functional Neuroanatomy of Mirroring during a Unimanual Force Generation Task,19435709
"Education, occupation, leisure activities, and brain reserve: a population-based study ",21074901
The neural basis of lip-reading capabilities is altered by early visual deprivation ,20385153
Examining brain structures associated with perceived stress in a large sample of young adults via voxel-based morphometry ,24495811
Prefrontal-Parietal White Matter Volumes in Healthy Elderlies Are Decreased in Proportion to the Degree of Cardiovascular Risk and Related to Inhibitory Control Deficits,28184203
Contributions of Polygenic Risk for Obesity to PTSD-Related Metabolic Syndrome and Cortical Thickness,28579519
Similar or Different? The Role of the Ventrolateral Prefrontal Cortex in Similarity Detection,22479551
Love to win or hate to lose? Asymmetry of dopamine D2 receptor binding predicts sensitivity to reward vs. punishment,24345165
Mental representations of vowel features asymmetrically modulate activity in superior temporal sulcus ,27669107
Functional Magnetic Resonance Imaging Study of Cognitive Control in the Healthy Relatives of Schizophrenia Patients ,16945345
Gray matter reduction associated with emotion regulation in female outpatients with major depressive disorder: A voxel-based morphometry study ,19596037
Imaging the functional connectivity of the Periaqueductal Gray during genuine and sham electroacupuncture treatment,21080967
Age and gender modulate the neural circuitry supporting facial emotion processing in adults with major depressive disorder,25085721
Automated cortical projection of head-surface locations for transcranial functional brain mapping ,15862201
Task Difficulty Manipulation Reveals Multiple Demand Activity but no Frontal Lobe Hierarchy,23131804
Predicting Intentions of a Familiar Significant Other Beyond the Mirror Neuron System,28890691
Neural correlates of focused attention during a brief mindfulness induction,22383804
Bilingual and multilingual language processing ,16723214
The BOLD correlates of the visual P1 and N1 in single-trial analysis of simultaneous EEG-fMRI recordings during a spatial detection task ,20869449
Discrete and analogue quantity processing in the parietal lobe: A functional MRI study,16537401
fMRI exploration of pedagogical benefits of repeated testing: when more is not always better,27458542
Atlas-guided non-uniform attenuation correction in cerebral 3D PET imaging ,15734362
Expectation Modulates Human Brain Responses to Acute Cocaine: A Functional Magnetic Resonance Imaging Study ,17644071
An investigation of facial emotion recognition impairments in alexithymia and its neural correlates ,24928767
Analysis of functional networks involved in motor execution and motor imagery using combined hierarchical clustering analysis and independent component analysis ,20378292
Fractionating the anterior temporal lobe: MVPA reveals differential responses to input and conceptual modality,27908787
Adult Age Differences in Functional Connectivity during Executive Control,20434565
When vocal processing gets emotional: On the role of social orientation in relevance detection by the human amygdala ,18299209
Interaction Between Hippocampus and Cerebellum Crus I in Sequence-Based but not Place-Based Navigation,24947462
Brain–computer interfaces increase whole-brain signal to noise,23901117
Prefrontal and hippocampal contributions to the generation and binding of semantic associations during successful encoding ,17023179
Interaction between a verbal working memory network and the medial temporal lobe ,17011215
Altered salience processing in attention deficit hyperactivity disorder,25648705
Central representation of the RIII flexion reflex associated with overt motor reaction: An fMRI study ,17996813
Neural correlates of the object-recall process in semantic memory ,16938439
The neural basis for understanding non-intended actions ,17499159
Dimensional schizotypy and social cognition: an fMRI imaging study,26074796
"Neural Correlates of True Memory, False Memory, and Deception",18372290
Altered brain functional connectivity in relation to perception of scrutiny in social anxiety disorder ,22809740
Hedging Your Bets by Learning Reward Correlations in the Human Brain,21943609
Plastic modulation of PTSD resting-state networks by EEG neurofeedback,24266644
The Neural Development of an Abstract Concept of Number,19016605
A piece of the action: Modulation of sensory-motor regions by action idioms and metaphors,23891645
Compensatory Frontoparietal Activity During Working Memory: An Endophenotype of Obsessive-Compulsive Disorder ,24365484
The effect of G72 genotype on neural correlates of memory encoding and retrieval ,20005295
Money for nothing — Atrophy correlates of gambling decision making in behavioural variant frontotemporal dementia and Alzheimer's disease ☆,24179781
Parietal disruption impairs reflexive spatial attention within and between sensory modalities ,17280691
White matter fractional anisotropy is related to processing speed in metabolic syndrome patients: a case-control study,20663196
Neuroanatomic substrates of semantic memory impairment in Alzheimer’s disease: Patterns of functional MRI activation,10439584
Changes Occur in Resting State Network of Motor System during 4 Weeks of Motor Skill Learning,21689765
fMRI responses to words repeated in a congruous semantic context are abnormal in mild Alzheimer’s disease,20433856
A task-independent neural representation of subjective certainty in visual perception,26500523
Neural networks involved in self-judgement in young and elderly adults ,20594938
An analysis of functional neuroimaging studies of dorsolateral prefrontal cortical activity in depression ,17029760
Resting State-fMRI with ReHo Analysis as a Non-Invasive Modality for the Prognosis of Cirrhotic Patients with Overt Hepatic Encephalopathy,25973853
Cluster-extent based thresholding in fMRI analyses: Pitfalls and recommendations,24412399
"Effects of alphabeticality, practice and type of instruction on reading an artificial script: An fMRI study ",15944143
Self-referential processing in unipolar depression: Distinct roles of subregions of the medial prefrontal cortex ,28285207
The influence of context on hemispheric recruitment during metaphor processing,21568642
Valence-specific conflict moderation in the dorso-medial PFC and the caudate head in emotional speech,24526187
Neural correlates of language and non-language visuospatial processing in adolescents with reading disability,25067812
Neural correlates of response inhibition in current and former smokers ,27867102
Neural basis of motivational approach and withdrawal behaviors in neurodegenerative disease,26442751
Asymmetric development of dorsal and ventral attention networks in the human brain,25797238
Cognitive and affective theory of mind share the same local patterns of activity in posterior temporal but not medial prefrontal cortex,23770622
Effects of Beta-Amyloid Accumulation on Neural Function During Encoding across the Adult Lifespan,22569063
Disrupted connectivity of motor loops in Parkinson's disease during self-initiated but not externally-triggered movements ,23548595
Expectancy and treatment interactions: A dissociation between acupuncture analgesia and expectancy evoked placebo analgesia,19159691
Rostral anterior cingulate cortex activity mediates the relationship between the depressive symptoms and the medial prefrontal cortex activity ,19589603
The relationship between phonological and auditory processing and brain organization in beginning readers,22572517
Reactivation of visual cortex during memory retrieval: Content specificity and emotional modulation ,22305991
Analysis of the spectral envelope of sounds by the human brain ,15670682
Age-related neural correlates of cognitive task performance under increased postural load,23274853
Interplay between Heightened Temporal Variability of Spontaneous Brain Activity and Task-Evoked Hyperactivation in the Blind,28066206
Influence of Alcohol Use on Neural Response to Go/No-Go Task in College Drinkers,23670589
The neural correlates of risky decision making across short and long runs,26516095
Toward A Brain-Based Theory of Beauty,21755004
SPEECH ERRORS IN PROGRESSIVE NON-FLUENT APHASIA,20074786
Hunger and satiety in anorexia nervosa: fMRI during cognitive processing of food pictures ,16919246
Brain structure links trait creativity to openness to experience,24603022
Replication and further studies of neural mechanisms of spatial mnemonic processing in humans ,10666552
Supersize my brain: A cross-sectional voxel-based morphometry study on the association between self-reported dietary restraint and regional grey matter volumes ,26995784
Altered attention networks in benign childhood epilepsy with centrotemporal spikes (BECTS): A resting-state fMRI study ,25825370
Anticipatory processes in brain state switching — Evidence from a novel cued-switching task implicating default mode and salience networks ,24830839
"Associations among Cognitive Functions, Plasma DNA, and White Matter Integrity in Patients with Early-Onset Parkinson's Disease",28174514
The Brain Mechanisms Underlying the Perception of Pungent Taste of Capsaicin and the Subsequent Autonomic Responses,26834613
Brain activity dynamics in human parietal regions during spontaneous switches in bistable perception,25512040
A Distributed Left Hemisphere Network Active During Planning of Everyday Tool Use Skills,15342430
Association between the oxytocin receptor ( OXTR ) gene and mesolimbic responses to rewards,24485285
The Influence of Feedback Valence in Associative Learning,18834944
Suicide attempters with Borderline Personality Disorder show differential orbitofrontal and parietal recruitment when reflecting on aversive memories,27392071
An evaluation of traffic-awareness campaign videos: empathy induction is associated with brain function within superior temporal sulcus,25118071
Brain activity for spontaneous pain of postherpetic neuralgia and its modulation by lidocaine patch therapy,17067740
"Functional Anatomy of Recognition of Chinese Multi-Character Words: Convergent Evidence from Effects of Transposable Nonwords, Lexicality, and Word Frequency",26901644
Persistent Differences in Patterns of Brain Activation after Sports-Related Concussion: A Longitudinal Functional Magnetic Resonance Imaging Study,23914845
Effects of trauma-related cues on pain processing in posttraumatic stress disorder: an fMRI investigation,20964954
Lexical influences on speech perception: A Granger causality analysis of MEG and EEG source estimates,18703146
Probing the Interoceptive Network by Listening to Heartbeats: An fMRI Study,26204524
Interoceptive awareness moderates neural activity during decision-making ,24076035
The Impact of Accelerated Right Prefrontal High-Frequency Repetitive Transcranial Magnetic Stimulation (rTMS) on Cue-Reactivity: An fMRI Study on Craving in Recently Detoxified Alcohol-Dependent Patients,26295336
Decreased Thalamocortical Functional Connectivity after 36 Hours of Total Sleep Deprivation: Evidence from Resting State fMRI,24205327
Changes in functional organization and white matter integrity in the connectome in Parkinson's disease,28116232
Resting-state connectivity of the amygdala predicts response to cognitive behavioral therapy in obsessive compulsive disorder ,26388257
Phoneme and word recognition in the auditory ventral stream,22308358
A preliminary study of medial temporal lobe function in youths with a history of caregiver deprivation and emotional neglect,20233954
Similar alterations in brain function for phonological and semantic processing to visual characters in Chinese dyslexia,22698991
"A group ICA based framework for evaluating resting fMRI markers when disease categories are unclear: application to schizophrenia, bipolar, and schizoaffective disorders",26216278
Familiarity and priming are mediated by overlapping neural substrates ,26683080
"Dough, Tough, Cough, Rough: A “Fast” fMRI Localizer of Component Processes in Reading",27592331
The neural correlates of the dominance dimension of emotion ,24359970
Fuzzy approximate entropy analysis of resting state fMRI signal complexity across the adult life span ,26475494
Altered Intrinsic Connectivity Networks in Frontal Lobe Epilepsy: A Resting-State fMRI Study,25525456
Age-related sensitivity to task-related modulation of language-processing networks,25172389
Neural representations of events arise from temporal community structure,23416451
The neural basis of integrating pre- and post-response information for goal-directed actions ,26522619
Articulatory mediation of speech perception: A causal analysis of multi-modal imaging data ,19110238
Ongoing egocentric spatial processing during learning of non-spatial information results in temporal-parietal activity during retrieval,23805114
Gender differences in brain areas involved in silent counting by means of fMRI,20522263
Visualization of Painful Experiences Believed to Trigger the Activation of Affective and Emotional Brain Regions in Subjects with Low Back Pain,22073183
Age-related vulnerability in the neural systems supporting semantic processing,24062684
"Brain mediators of cardiovascular responses to social threat, Part I: Reciprocal dorsal and ventral sub-regions of the medial prefrontal cortex and heart-rate reactivity",19465137
Processing of Social and Monetary Rewards in the Human Striatum ,18439412
Structural white matter asymmetries in relation to functional asymmetries during speech perception and production ,23921095
Absent activation in medial prefrontal cortex and temporoparietal junction but not superior temporal sulcus during the perception of biological motion in schizophrenia: a functional MRI study,25484590
Decreased regional homogeneity in insula and cerebellum: A resting-state fMRI study in patients with major depression and subjects at high risk for major depression ,20493670
Differences in fMRI intersubject correlation while viewing unedited and edited videos of dance performance ,26298503
Meta-analysis of fMRI studies of timing in attention-deficit hyperactivity disorder (ADHD) ,22922163
Voxel-based morphometric study of brain volume changes in patients with Alzheimer’s disease assessed according to the Clinical Dementia Rating score ,21570296
A systematic review and meta-analysis of the fMRI investigation of autism spectrum disorders ,22101112
"Information theory, novelty and hippocampal responses: unpredicted or unpredictable? ",15896570
"She runs, the road runs, my mind runs, bad blood runs between us: Literal and figurative motion verbs: An fMRI study ",23792983
Subjective cognitive impairment: Functional MRI during a divided attention task ,20932721
Functional neuroanatomy of the encoding and retrieval processes of verbal episodic memory in MCI ,19683225
Prefrontal activity during response inhibition decreases over time in the postpartum period ,23238040
Functional Imaging Reveals Working Memory and Attention Interact to Produce the Attentional Blink,21568643
A Developmental Examination of Amygdala Response to Facial Expressions,18345988
Dysfunction of Affective Network in Post Ischemic Stroke Depression: A Resting-State Functional Magnetic Resonance Imaging Study,24963485
Metabolic alterations associated with impaired clock drawing in Lewy body dementia ,20074912
Cerebral neural correlates of differential melanopic photic stimulation in humans ,27688202
"How does brain activation differ in children with unilateral cerebral palsy compared to typically developing children, during active and passive movements, and tactile stimulation? An fMRI study ",22940170
Changing channels: An fMRI study of aging and cross-modal attention shifts ,16549368
An energy-efficient intrinsic functional organization of human working memory: A resting-state functional connectivity study ,27569182
Motor imagery: A window into the mechanisms and alterations of the motor system ,18387583
Tinnitus and musical hallucinosis: The same but more ,23732881
Processing of autobiographical memory retrieval cues in borderline personality disorder ,16837057
The stimuli drive the response: An fMRI study of youth processing adult or child emotional face stimuli ,23851324
Deconstructing the brain’s moral network: dissociable functionality between the temporoparietal junction and ventro-medial prefrontal cortex,23322890
The neural basis of the Machiavellians’ decision making in fair and unfair situations ,26093237
Neuronal network pharmacodynamics of GABAergic modulation in the human cortex determined using pharmaco‐magnetoencephalography †,19937723
Anhedonia and general distress show dissociable ventromedial prefrontal cortex connectivity in major depressive disorder,27187232
Self-Other Mergence in the Frontal Cortex during Cooperation and Competition,27477020
Brain activity during motor imagery of an action with an object: A functional magnetic resonance imaging study ,23562793
Outcome dependency alters the neural substrates of impression formation,23850465
Altered brain structure in Chinese dyslexic children ,23542499
Navigating through digital folders uses the same brain structures as real world navigation,26423226
Putting the pieces together: The role of dorsolateral prefrontal cortex in relational memory encoding,20146616
Proactive inhibitory control of movement assessed by event-related fMRI ,18588986
"Judgment in Older Adults with Normal Cognition, Cognitive Complaints, MCI, and Mild AD: Relation to Regional Frontal Gray Matter",24741381
THE ROLE OF THE RIGHT AND LEFT PARIETAL LOBES IN THE CONCEPTUAL PROCESSING OF NUMBERS,19400672
fMRI investigation of cortical and subcortical networks in the learning of abstract and effector-specific representations of motor sequences ,16798015
Anterior insular cortex activity to emotional salience of voices in a passive oddball paradigm,25346670
Using arterial spin labeling to examine mood states in youth,26085964
Vestibular evoked potentials (VsEPs) of cortical origin produced by impulsive acceleration applied at the nasion,25138912
Executive and behavioral deficits share common neural substrates in frontotemporal lobar degeneration — A pilot FDG-PET study ,20493673
Distinct brain networks for time-varied characteristics of acupuncture ,19914337
Social interaction modifies neural response to gaze shifts,18985119
Testing the physiological plausibility of conflicting psychological models of response inhibition: A forward inference fMRI study ,28647596
Autism Spectrum Disorder as Early Neurodevelopmental Disorder: Evidence from the Brain Imaging Abnormalities in 2–3 Years Old Toddlers,24419870
Multimodal representations of person identity individuated with fMRI ,28242496
The Neural Basis of Typewriting: A Functional MRI Study,26218431
Atypical Default Network Connectivity in Youth with ADHD,20728873
"Space, Time, and Causality in the Human Brain",24561228
Depressed Mood and Lateralized Prefrontal Activity During a Stroop Task in Adolescent Children,17350756
Increased topographical variability of task-related activation in perceptive and motor associative regions in adult autistics,25101235
View-independent coding of face identity in frontal and temporal cortices is modulated by familiarity: an event-related fMRI study ,15670699
fMRI neurofeedback of higher visual areas and perceptual biases,27020139
Anterior cingulate dysfunction during choice anticipation in schizophrenia ,15598546
Mapping the complex topological organization of the human parietal face area,28889002
Impairment of Auditory-Motor Timing and Compensatory Reorganization after Ventral Premotor Cortex Stimulation,21738657
An ER-fMRI study of Russian inflectional morphology ,24576807
Spatial attention influences trial-by-trial relationships between response time and functional connectivity in the visual cortex ,20736069
Dissociated α-Band Modulations in the Dorsal and Ventral Visual Pathways in Visuospatial Attention and Perception,23118197
Early math achievement and functional connectivity in the fronto-parietal network,22682903
Clinical significance of serological biomarkers and neuropsychological performances in patients with temporal lobe epilepsy,22417223
Ventral medial prefrontal cortex and cardiovagal control in conscious humans ,17291781
Compassionate attitude towards others’ suffering activates the mesolimbic neural system ,19428038
Neurocircuits underlying cognition–emotion interaction in a social decision making context ,22813951
Differences in cerebral activation patterns in idiopathic inflammatory demyelination using the paced visual serial addition task: An fMRI study ,16480742
Functional connectivity between prefrontal and parietal cortex drives visuo-spatial attention shifts,28254653
Neural correlates of semantic priming for ambiguous words: An event-related fMRI study ,17173868
